sec,nanosec,position_shoulder,velocity_shoulder,effort_shoulder
10035,520000000,0.5882873466316356,-0.026121066287410857,nan
10035,530000000,0.5882873466316205,-0.026121066300869803,nan
10035,540000000,0.5882873466316072,-0.026121066315058235,nan
10035,550000000,0.588287346631593,-0.026121066328859372,nan
10035,560000000,0.5882873466315806,-0.026121066342642177,nan
10035,570000000,0.5882873466315681,-0.026121066355910383,nan
10035,580000000,0.5882873466315539,-0.026121066369086263,nan
10035,590000000,0.5882873466315406,-0.026121066381738393,nan
10035,600000000,0.5882873466315282,-0.02612106639426132,nan
10035,610000000,0.5882873466315184,-0.026121066406332803,nan
10035,620000000,0.5882873466315051,-0.026121066418204945,nan
10035,630000000,0.5882873466314926,-0.026121066429862748,nan
10035,640000000,0.5882873466314829,-0.026121066441145677,nan
10035,650000000,0.5882873466314704,-0.02612106645236862,nan
10035,660000000,0.5882873466314615,-0.026121066463082047,nan
10035,670000000,0.58828734663145,-0.026121066473772128,nan
10035,680000000,0.5882873466314393,-0.026121066484122674,nan
10035,700000000,0.5882873466314171,-0.0261210665041583,nan
10035,710000000,0.58828734663141,-0.026121066513756147,nan
10035,720000000,0.5882873466314003,-0.0261210665235051,nan
10035,730000000,0.5882873466313905,-0.026121066532606468,nan
10035,740000000,0.5882873466313807,-0.0261210665416164,nan
10035,750000000,0.5882873466313718,-0.02612106655059671,nan
10035,760000000,0.5882873466313638,-0.026121066559200982,nan
10035,770000000,0.588287346631355,-0.026121066567698893,nan
10035,780000000,0.588287346631347,-0.026121066575691576,nan
10035,790000000,0.5882873466313399,-0.026121066583935138,nan
10035,800000000,0.5882873466313319,-0.02612106659158861,nan
10035,810000000,0.5882873466313256,-0.02612106659936826,nan
10035,820000000,0.5882873466313159,-0.02612106660684385,nan
10035,830000000,0.5882873466313088,-0.026121066614129815,nan
10035,840000000,0.5882873466313017,-0.02612106662126025,nan
10035,850000000,0.5882873466312954,-0.026121066628397572,nan
10035,860000000,0.5882873466312883,-0.026121066635048432,nan
10035,870000000,0.5882873466312804,-0.026121066641890164,nan
10035,880000000,0.5882873466312759,-0.02612106664822445,nan
10035,890000000,0.5882873466312679,-0.02612106665453504,nan
10035,900000000,0.5882873466312617,-0.026121066660547965,nan
10035,910000000,0.5882873466312564,-0.02612106666661957,nan
10035,920000000,0.5882873466312502,-0.026121066672509557,nan
10035,930000000,0.5882873466312448,-0.026121066678208692,nan
10035,940000000,0.5882873466312404,-0.026121066683863946,nan
10035,950000000,0.5882873466312333,-0.02612106668917813,nan
10035,960000000,0.5882873466312297,-0.026121066694392157,nan
10035,970000000,0.5882873466312235,-0.026121066699595862,nan
10035,980000000,0.5882873466312182,-0.02612106670452139,nan
10035,990000000,0.588287346631212,-0.026121066709481867,nan
10036,0,0.5882873466312093,-0.026121066714148516,nan
10036,10000000,0.5882873466312057,-0.026121066718844295,nan
10036,20000000,0.5882873466312013,-0.02612106672336964,nan
10036,30000000,0.5882873466311951,-0.026121066727673618,nan
10036,40000000,0.5882873466311898,-0.026121066731970854,nan
10036,50000000,0.5882873466311871,-0.026121066736126474,nan
